Date,DMA,Display_Impressions,Display_Clicks,Display_Spend,Gyms_Per_Sq_Mile,Weather_Condition,Gym_Memberships_Sold,Revenue,spend_up
2022-10-15,"New York, NY",57726,472,895.08,3.54,Sunny,82,5394.08,control
2022-10-16,"New York, NY",50184,501,575.85,3.54,Cloudy,104,6813.49,control
2022-10-17,"New York, NY",55802,341,593.96,3.54,Rainy,97,6311.79,control
2022-10-18,"New York, NY",50023,570,976.49,3.54,Rainy,81,5323.9,control
2022-10-19,"New York, NY",59990,810,1554.39,3.54,Rainy,75,4880.69,control
2022-10-20,"New York, NY",51277,727,1046.78,3.54,Cloudy,73,4746.92,control
2022-10-21,"New York, NY",56594,603,1126.55,3.54,Snowy,73,4809.44,control
2022-10-22,"New York, NY",46805,545,1045.41,3.54,Sunny,84,5503.63,control
2022-10-23,"New York, NY",55558,302,464.24,3.54,Sunny,105,6852.83,control
2022-10-24,"New York, NY",36733,413,704.16,3.54,Snowy,97,6310.48,control
2022-10-25,"New York, NY",44152,407,657.24,3.54,Cloudy,83,5444.2,control
2022-10-26,"New York, NY",57171,376,672.14,3.54,Rainy,72,4713.96,control
2022-10-27,"New York, NY",61890,704,1155.46,3.54,Snowy,75,4895.93,control
2022-10-28,"New York, NY",53081,624,1189.78,3.54,Sunny,73,4777.92,control
2022-10-29,"New York, NY",43407,302,485.41,3.54,Cloudy,82,5345.0,control
2022-10-30,"New York, NY",49534,393,557.54,3.54,Sunny,101,6590.9,control
2022-10-31,"New York, NY",52442,759,790.09,3.54,Rainy,92,6034.7,control
2022-11-01,"New York, NY",52539,566,714.12,3.54,Sunny,82,5361.37,control
2022-11-02,"New York, NY",46248,553,826.65,3.54,Snowy,74,4865.0,control
2022-11-03,"New York, NY",50828,372,529.66,3.54,Snowy,69,4485.86,control
2022-11-04,"New York, NY",56557,478,749.47,3.54,Sunny,77,5034.13,control
2022-11-05,"New York, NY",42481,542,877.02,3.54,Snowy,85,5539.67,control
2022-11-06,"New York, NY",59129,417,606.85,3.54,Sunny,102,6637.14,control
2022-11-07,"New York, NY",59093,416,691.31,3.54,Snowy,99,6497.37,control
2022-11-08,"New York, NY",51575,480,614.03,3.54,Sunny,79,5152.9,control
2022-11-09,"New York, NY",52944,459,515.47,3.54,Sunny,76,4962.32,control
2022-11-10,"New York, NY",46223,634,1176.43,3.54,Sunny,73,4800.75,control
2022-11-11,"New York, NY",53796,726,1131.07,3.54,Sunny,75,4898.14,control
2022-11-12,"New York, NY",46662,550,737.82,3.54,Sunny,80,5239.64,control
2022-11-13,"New York, NY",51680,447,516.11,3.54,Sunny,104,6818.72,control
2022-11-14,"New York, NY",56837,543,723.32,3.54,Rainy,100,6518.05,control
2022-11-15,"New York, NY",44585,423,595.94,3.54,Cloudy,78,5115.74,control
2022-11-16,"New York, NY",50053,257,477.18,3.54,Rainy,76,4990.44,control
2022-11-17,"New York, NY",61444,405,523.63,3.54,Sunny,72,4699.36,control
2022-11-18,"New York, NY",55449,357,358.01,3.54,Sunny,79,5170.69,control
2022-11-19,"New York, NY",50720,500,691.06,3.54,Cloudy,87,5660.39,control
2022-11-20,"New York, NY",39087,420,461.1,3.54,Snowy,101,6567.79,control
2022-11-21,"New York, NY",46547,362,525.57,3.54,Sunny,100,6511.37,control
2022-11-22,"New York, NY",51745,588,1169.34,3.54,Sunny,77,5037.23,control
2022-11-23,"New York, NY",44207,535,809.34,3.54,Cloudy,75,4930.16,control
2022-11-24,"New York, NY",57894,634,683.42,3.54,Cloudy,72,4737.93,control
2022-11-25,"New York, NY",50320,437,758.08,3.54,Cloudy,72,4711.16,control
2022-11-26,"New York, NY",53241,629,762.83,3.54,Cloudy,82,5349.49,control
2022-11-27,"New York, NY",57680,800,1507.88,3.54,Cloudy,106,6918.42,control
2022-11-28,"New York, NY",47031,350,678.98,3.54,Sunny,99,6473.33,control
2022-11-29,"New York, NY",55726,625,822.03,3.54,Snowy,80,5230.45,control
2022-11-30,"New York, NY",47414,265,355.76,3.54,Rainy,77,5042.99,control
2022-12-01,"New York, NY",50168,368,388.26,3.54,Cloudy,73,4776.68,control
2022-12-02,"New York, NY",50855,426,571.0,3.54,Sunny,76,4954.13,control
2022-12-03,"New York, NY",55063,530,580.96,3.54,Sunny,82,5388.91,control
2022-12-04,"New York, NY",47507,399,563.87,3.54,Sunny,104,6769.28,control
2022-12-05,"New York, NY",52994,747,790.85,3.54,Rainy,101,6590.76,control
2022-12-06,"New York, NY",50111,572,920.35,3.54,Sunny,78,5118.93,control
2022-12-07,"New York, NY",58216,435,867.72,3.54,Cloudy,76,5004.4,control
2022-12-08,"New York, NY",49415,444,598.71,3.54,Sunny,69,4524.85,control
2022-12-09,"New York, NY",38068,225,370.51,3.54,Sunny,77,5044.18,control
2022-12-10,"New York, NY",43093,581,1053.65,3.54,Rainy,88,5769.98,control
2022-12-11,"New York, NY",48980,396,740.62,3.54,Sunny,102,6689.48,control
2022-12-12,"New York, NY",47587,362,366.3,3.54,Sunny,93,6076.41,control
2022-12-13,"New York, NY",49140,465,784.1,3.54,Cloudy,81,5287.58,control
2022-12-14,"New York, NY",54737,638,1109.23,3.54,Cloudy,78,5083.65,control
2022-12-15,"New York, NY",47742,322,478.3,3.54,Cloudy,71,4668.15,control
2022-12-16,"New York, NY",50452,352,579.5,3.54,Rainy,78,5104.72,control
2022-12-17,"New York, NY",48038,464,547.61,3.54,Sunny,84,5497.91,control
2022-12-18,"New York, NY",48850,707,796.09,3.54,Snowy,100,6528.74,control
2022-12-19,"New York, NY",56506,391,680.93,3.54,Cloudy,97,6366.48,control
2022-12-20,"New York, NY",53474,753,1466.73,3.54,Sunny,81,5297.34,control
2022-12-21,"New York, NY",51813,586,935.68,3.54,Sunny,79,5186.44,control
2022-12-22,"New York, NY",51451,418,421.42,3.54,Cloudy,70,4604.68,control
2022-12-23,"New York, NY",53057,538,663.06,3.54,Sunny,75,4877.21,control
2022-12-24,"New York, NY",43366,359,478.78,3.54,Cloudy,84,5511.31,control
2022-12-25,"New York, NY",44434,472,493.68,3.54,Snowy,104,6815.4,control
2022-12-26,"New York, NY",43528,630,755.52,3.54,Rainy,97,6330.73,control
2022-12-27,"New York, NY",47798,412,731.42,3.54,Cloudy,83,5427.46,control
2022-12-28,"New York, NY",53090,604,990.89,3.54,Sunny,73,4793.97,control
2022-12-29,"New York, NY",51206,301,584.56,3.54,Sunny,74,4833.95,control
2022-12-30,"New York, NY",47274,285,547.64,3.54,Sunny,74,4842.57,control
2022-12-31,"New York, NY",64268,790,1076.8,3.54,Snowy,82,5387.16,control
2023-01-01,"New York, NY",57900,451,723.35,3.54,Cloudy,145,9430.15,control
2023-01-02,"New York, NY",55482,765,1136.17,3.54,Snowy,152,9889.5,control
2023-01-03,"New York, NY",50863,306,519.07,3.54,Sunny,120,7812.63,control
2023-01-04,"New York, NY",48497,414,616.21,3.54,Cloudy,116,7561.81,control
2023-01-05,"New York, NY",54801,276,432.16,3.54,Snowy,109,7113.6,control
2023-01-06,"New York, NY",44687,497,670.35,3.54,Cloudy,109,7122.61,control
2023-01-07,"New York, NY",52659,623,655.14,3.54,Rainy,126,8212.85,control
2023-01-08,"New York, NY",33493,221,352.92,3.54,Rainy,152,9915.85,control
2023-01-09,"New York, NY",52285,633,668.79,3.54,Cloudy,140,9120.11,control
2023-01-10,"New York, NY",49330,643,839.01,3.54,Cloudy,125,8149.14,control
2023-01-11,"New York, NY",49382,457,824.8,3.54,Snowy,110,7176.78,control
2023-01-12,"New York, NY",50124,342,639.21,3.54,Cloudy,105,6849.32,control
2023-01-13,"New York, NY",58171,868,1188.82,3.54,Cloudy,115,7527.78,control
2023-01-14,"New York, NY",46327,452,867.99,3.54,Cloudy,125,8145.28,control
2023-01-15,"New York, NY",51786,586,1112.21,3.54,Sunny,149,9708.2,control
2023-01-16,"New York, NY",59154,408,604.53,3.54,Cloudy,139,9085.8,control
2023-01-17,"New York, NY",53483,352,584.05,3.54,Sunny,116,7563.83,control
2023-01-18,"New York, NY",45077,544,1012.72,3.54,Snowy,119,7783.73,control
2023-01-19,"New York, NY",46278,554,1092.89,3.54,Cloudy,102,6672.11,control
2023-01-20,"New York, NY",53870,713,1214.71,3.54,Cloudy,118,7698.74,control
2023-01-21,"New York, NY",51391,519,900.36,3.54,Cloudy,124,8109.98,control
2023-01-22,"New York, NY",41067,214,221.63,3.54,Sunny,150,9789.81,control
2023-01-23,"New York, NY",50305,403,608.43,3.54,Rainy,150,9788.21,control
2023-01-24,"New York, NY",45542,329,414.08,3.54,Sunny,117,7656.96,control
2023-01-25,"New York, NY",47415,296,339.32,3.54,Sunny,110,7150.23,control
2023-01-26,"New York, NY",46758,433,577.49,3.54,Rainy,112,7305.58,control
2023-01-27,"New York, NY",43840,353,529.66,3.54,Sunny,116,7584.97,control
2023-01-28,"New York, NY",57132,581,685.35,3.54,Sunny,132,8587.05,control
2023-01-29,"New York, NY",44047,240,455.12,3.54,Sunny,157,10244.78,control
2023-01-30,"New York, NY",51747,544,1040.49,3.54,Sunny,152,9942.73,control
2023-01-31,"New York, NY",45973,431,638.07,3.54,Cloudy,116,7548.24,control
2023-02-01,"New York, NY",45949,611,929.58,3.54,Cloudy,98,6375.74,control
2023-02-02,"New York, NY",42982,555,756.09,3.54,Sunny,89,5813.3,control
2023-02-03,"New York, NY",60014,378,381.07,3.54,Rainy,94,6163.17,control
2023-02-04,"New York, NY",49702,402,518.38,3.54,Sunny,106,6934.8,control
2023-02-05,"New York, NY",47602,504,904.94,3.54,Sunny,128,8369.16,control
2023-02-06,"New York, NY",40301,533,874.48,3.54,Cloudy,119,7771.15,control
2023-02-07,"New York, NY",43731,403,488.99,3.54,Rainy,102,6639.33,control
2023-02-08,"New York, NY",52649,400,694.62,3.54,Rainy,91,5925.55,control
2023-02-09,"New York, NY",55817,814,1393.98,3.54,Sunny,89,5806.08,control
2023-02-10,"New York, NY",50692,526,1007.77,3.54,Sunny,98,6380.42,control
2023-02-11,"New York, NY",56004,581,773.41,3.54,Rainy,107,6992.81,control
2023-02-12,"New York, NY",46585,242,408.46,3.54,Sunny,132,8602.83,control
2023-02-13,"New York, NY",55722,341,440.13,3.54,Rainy,116,7544.88,control
2023-02-14,"New York, NY",35576,178,206.15,3.54,Rainy,98,6406.61,control
2023-02-15,"New York, NY",54046,639,776.2,3.54,Cloudy,91,5948.58,control
2023-02-16,"New York, NY",58651,563,608.86,3.54,Sunny,87,5673.88,control
2023-02-17,"New York, NY",50665,282,373.93,3.54,Cloudy,95,6195.33,control
2023-02-18,"New York, NY",40752,492,710.59,3.54,Sunny,108,7076.01,control
2023-02-19,"New York, NY",57900,694,1071.51,3.54,Sunny,124,8095.59,control
2023-02-20,"New York, NY",57837,603,990.29,3.54,Sunny,120,7816.6,control
2023-02-21,"New York, NY",53049,690,892.26,3.54,Sunny,95,6211.25,control
2023-02-22,"New York, NY",47296,504,586.54,3.54,Sunny,95,6201.35,control
2023-02-23,"New York, NY",49959,306,487.87,3.54,Cloudy,86,5599.71,control
2023-02-24,"New York, NY",41695,517,518.9,3.54,Rainy,96,6268.85,control
2023-02-25,"New York, NY",53849,468,564.94,3.54,Rainy,102,6659.97,control
2023-02-26,"New York, NY",52656,699,1113.25,3.54,Rainy,128,8356.36,control
2023-02-27,"New York, NY",43024,243,299.28,3.54,Cloudy,121,7892.43,control
2023-02-28,"New York, NY",50692,296,433.06,3.54,Rainy,99,6482.33,control
2023-03-01,"New York, NY",49352,295,304.32,3.54,Cloudy,86,5616.88,control
2023-03-02,"New York, NY",50568,734,1151.48,3.54,Rainy,80,5219.42,control
2023-03-03,"New York, NY",59603,536,649.91,3.54,Sunny,84,5462.96,control
2023-03-04,"New York, NY",46494,491,967.09,3.54,Sunny,93,6076.36,control
2023-03-05,"New York, NY",45042,489,873.27,3.54,Rainy,112,7311.57,control
2023-03-06,"New York, NY",54643,805,1283.3,3.54,Snowy,111,7225.6,control
2023-03-07,"New York, NY",48602,616,910.66,3.54,Rainy,88,5722.7,control
2023-03-08,"New York, NY",45701,537,834.35,3.54,Snowy,82,5354.56,control
2023-03-09,"New York, NY",54195,328,480.64,3.54,Cloudy,81,5272.72,control
2023-03-10,"New York, NY",53557,460,887.88,3.54,Rainy,83,5422.26,control
2023-03-11,"New York, NY",49897,641,870.39,3.54,Rainy,90,5914.54,control
2023-03-12,"New York, NY",49919,726,1046.35,3.54,Sunny,113,7379.82,control
2023-03-13,"New York, NY",55666,468,779.31,3.54,Sunny,106,6898.24,control
2023-03-14,"New York, NY",56700,346,623.5,3.54,Cloudy,90,5855.01,control
2023-03-15,"New York, NY",45837,558,617.71,3.54,Cloudy,82,5370.49,control
2023-03-16,"New York, NY",50359,261,277.96,3.54,Snowy,77,5005.74,control
2023-03-17,"New York, NY",47058,298,375.02,3.54,Snowy,82,5377.23,control
2023-03-18,"New York, NY",46188,418,818.03,3.54,Cloudy,94,6113.34,control
2023-03-19,"New York, NY",44935,389,730.49,3.54,Sunny,110,7159.28,control
2023-03-20,"New York, NY",60638,690,836.39,3.54,Cloudy,108,7061.63,control
2023-03-21,"New York, NY",41109,520,689.07,3.54,Cloudy,91,5958.46,control
2023-03-22,"New York, NY",40474,562,773.99,3.54,Sunny,81,5303.48,control
2023-03-23,"New York, NY",35776,375,583.68,3.54,Cloudy,80,5244.97,control
2023-03-24,"New York, NY",54342,788,851.81,3.54,Snowy,85,5586.69,control
2023-03-25,"New York, NY",52637,495,712.5,3.54,Sunny,91,5926.43,control
2023-03-26,"New York, NY",49119,640,681.11,3.54,Snowy,106,6915.93,control
2023-03-27,"New York, NY",47009,659,984.31,3.54,Sunny,111,7257.41,control
2023-03-28,"New York, NY",54568,584,747.18,3.54,Snowy,91,5945.84,control
2023-03-29,"New York, NY",46118,488,800.91,3.54,Sunny,82,5391.02,control
2023-03-30,"New York, NY",48868,350,407.34,3.54,Cloudy,78,5124.54,control
2023-03-31,"New York, NY",47775,572,905.97,3.54,Rainy,87,5686.14,control
2023-04-01,"New York, NY",42760,266,393.64,3.54,Rainy,82,5361.78,control
2023-04-02,"New York, NY",54864,693,977.63,3.54,Cloudy,99,6441.71,control
2023-04-03,"New York, NY",45030,533,549.3,3.54,Cloudy,93,6047.15,control
2023-04-04,"New York, NY",47299,684,843.47,3.54,Cloudy,81,5303.36,control
2023-04-05,"New York, NY",47133,438,689.2,3.54,Sunny,76,4946.6,control
2023-04-06,"New York, NY",44092,537,925.28,3.54,Rainy,69,4507.17,control
2023-04-07,"New York, NY",49506,269,429.12,3.54,Cloudy,77,5060.73,control
2023-04-08,"New York, NY",50183,310,479.4,3.54,Cloudy,87,5674.03,control
2023-04-09,"New York, NY",40864,575,661.21,3.54,Cloudy,101,6598.94,control
2023-04-10,"New York, NY",45201,489,865.33,3.54,Snowy,97,6319.14,control
2023-04-11,"New York, NY",51389,399,518.08,3.54,Cloudy,82,5366.28,control
2023-04-12,"New York, NY",49401,476,747.36,3.54,Rainy,75,4905.51,control
2023-04-13,"New York, NY",44544,231,336.83,3.54,Sunny,73,4768.47,control
2023-04-14,"New York, NY",51616,687,1296.03,3.54,Cloudy,75,4939.14,control
2023-04-15,"New York, NY",41294,366,401.27,3.54,Sunny,84,5518.9,control
2023-04-16,"New York, NY",48257,406,597.26,3.54,Sunny,99,6443.17,control
2023-04-17,"New York, NY",44523,231,425.35,3.54,Cloudy,98,6413.32,control
2023-04-18,"New York, NY",54554,397,657.36,3.54,Sunny,82,5367.44,control
2023-04-19,"New York, NY",52162,659,824.13,3.54,Rainy,73,4759.62,control
2023-04-20,"New York, NY",45303,386,649.01,3.54,Sunny,73,4762.45,control
2023-04-21,"New York, NY",54429,425,847.57,3.54,Sunny,74,4830.76,control
2023-04-22,"New York, NY",54926,498,868.27,3.54,Cloudy,82,5380.57,control
2023-04-23,"New York, NY",54016,554,903.1,3.54,Cloudy,99,6457.41,control
2023-04-24,"New York, NY",52631,776,1287.1,3.54,Sunny,92,6007.05,control
2023-04-25,"New York, NY",56157,665,961.62,3.54,Sunny,82,5385.67,control
2023-04-26,"New York, NY",57228,810,1373.42,3.54,Sunny,75,4916.65,control
2023-04-27,"New York, NY",51988,581,797.23,3.54,Rainy,68,4473.29,control
2023-04-28,"New York, NY",49586,547,1066.02,3.54,Cloudy,73,4809.61,control
2023-04-29,"New York, NY",55233,555,647.8,3.54,Snowy,82,5343.12,control
2023-04-30,"New York, NY",49808,474,911.23,3.54,Sunny,98,6371.45,control
2023-05-01,"New York, NY",48894,661,983.71,3.54,Cloudy,95,6232.19,control
2023-05-02,"New York, NY",50260,332,413.89,3.54,Sunny,83,5406.96,control
2023-05-03,"New York, NY",48875,583,1127.99,3.54,Snowy,72,4715.09,control
2023-05-04,"New York, NY",46465,583,960.7,3.54,Sunny,68,4484.13,control
2023-05-05,"New York, NY",44218,539,722.01,3.54,Sunny,79,5179.63,control
2023-05-06,"New York, NY",50568,616,793.57,3.54,Sunny,84,5520.96,control
2023-05-07,"New York, NY",47105,289,483.78,3.54,Snowy,104,6804.02,control
2023-05-08,"New York, NY",49499,317,527.89,3.54,Sunny,97,6360.69,control
2023-05-09,"New York, NY",49364,695,935.71,3.54,Cloudy,81,5272.04,control
2023-05-10,"New York, NY",52825,681,1135.28,3.54,Cloudy,79,5143.38,control
2023-05-11,"New York, NY",43121,625,1200.13,3.54,Cloudy,68,4482.65,control
2023-05-12,"New York, NY",56894,343,610.28,3.54,Cloudy,77,5042.54,control
2023-05-13,"New York, NY",48507,522,839.35,3.54,Rainy,84,5521.69,control
2023-05-14,"New York, NY",44899,299,401.14,3.54,Snowy,101,6595.75,control
2023-05-15,"New York, NY",43487,222,279.13,3.54,Cloudy,94,6169.89,control
2023-05-16,"New York, NY",48342,608,863.04,3.54,Snowy,80,5257.31,control
2023-05-17,"New York, NY",45579,612,1126.66,3.54,Rainy,73,4786.91,control
2023-05-18,"New York, NY",48544,679,806.12,3.54,Sunny,68,4465.27,control
2023-05-19,"New York, NY",56357,380,693.25,3.54,Rainy,78,5100.04,control
2023-05-20,"New York, NY",48305,462,641.27,3.54,Sunny,84,5478.41,control
2023-05-21,"New York, NY",48858,415,775.24,3.54,Sunny,106,6914.66,control
2023-05-22,"New York, NY",50759,546,890.38,3.54,Sunny,100,6517.21,control
2023-05-23,"New York, NY",40950,331,645.69,3.54,Cloudy,83,5395.08,control
2023-05-24,"New York, NY",54283,534,705.3,3.54,Cloudy,76,4984.57,control
2023-05-25,"New York, NY",51656,319,504.52,3.54,Cloudy,72,4693.08,control
2023-05-26,"New York, NY",47816,592,682.39,3.54,Rainy,74,4829.09,control
2023-05-27,"New York, NY",46223,420,716.57,3.54,Rainy,82,5387.42,control
2023-05-28,"New York, NY",54214,430,490.63,3.54,Sunny,99,6448.83,control
2023-05-29,"New York, NY",52599,538,669.89,3.54,Sunny,98,6415.29,control
2023-05-30,"New York, NY",53708,493,551.01,3.54,Cloudy,80,5254.13,control
2023-05-31,"New York, NY",50915,386,441.38,3.54,Cloudy,74,4868.88,control
2023-06-01,"New York, NY",46763,549,783.5,3.54,Cloudy,72,4701.31,control
2023-06-02,"New York, NY",51757,718,1244.36,3.54,Sunny,76,5002.37,control
2023-06-03,"New York, NY",47733,489,668.78,3.54,Cloudy,83,5419.42,control
2023-06-04,"New York, NY",56888,633,1170.47,3.54,Rainy,100,6500.15,control
2023-06-05,"New York, NY",46450,628,736.14,3.54,Sunny,100,6513.89,control
2023-06-06,"New York, NY",53111,757,773.57,3.54,Snowy,82,5339.69,control
2023-06-07,"New York, NY",51380,608,840.63,3.54,Sunny,77,5045.46,control
2023-06-08,"New York, NY",50182,338,590.84,3.54,Sunny,74,4812.36,control
2023-06-09,"New York, NY",51782,650,1012.3,3.54,Cloudy,74,4862.89,control
2023-06-10,"New York, NY",61364,315,513.29,3.54,Cloudy,87,5664.79,control
2023-06-11,"New York, NY",52923,610,952.28,3.54,Cloudy,101,6585.37,control
2023-06-12,"New York, NY",46401,510,949.73,3.54,Cloudy,100,6536.43,control
2023-06-13,"New York, NY",50958,680,718.92,3.54,Sunny,82,5343.46,control
2023-06-14,"New York, NY",51065,348,665.68,3.54,Cloudy,73,4746.78,control
2023-06-15,"New York, NY",50209,491,511.13,3.54,Cloudy,71,4661.73,control
2023-06-16,"New York, NY",47671,375,602.49,3.54,Snowy,75,4929.97,control
2023-06-17,"New York, NY",44121,435,661.4,3.54,Snowy,82,5345.77,control
2023-06-18,"New York, NY",57802,319,353.66,3.54,Cloudy,98,6430.88,control
2023-06-19,"New York, NY",53398,480,736.1,3.54,Sunny,97,6361.78,control
2023-06-20,"New York, NY",44307,607,712.25,3.54,Rainy,76,4992.07,control
2023-06-21,"New York, NY",53961,631,691.92,3.54,Rainy,75,4936.12,control
2023-06-22,"New York, NY",42550,520,536.54,3.54,Sunny,73,4746.52,control
2023-06-23,"New York, NY",45985,302,513.22,3.54,Rainy,77,5019.75,control
2023-06-24,"New York, NY",53330,485,565.14,3.54,Sunny,83,5408.66,control
2023-06-25,"New York, NY",46196,621,707.63,3.54,Sunny,98,6415.76,control
2023-06-26,"New York, NY",51570,418,596.74,3.54,Sunny,101,6591.87,control
2023-06-27,"New York, NY",50394,454,838.95,3.54,Snowy,79,5176.28,control
2023-06-28,"New York, NY",52502,453,606.22,3.54,Cloudy,73,4795.42,control
2023-06-29,"New York, NY",46808,596,1135.85,3.54,Snowy,72,4686.63,control
2023-06-30,"New York, NY",47031,338,426.55,3.54,Cloudy,79,5187.86,control
2023-07-01,"New York, NY",56711,327,524.22,3.54,Rainy,87,5703.96,control
2023-07-02,"New York, NY",50550,575,977.64,3.54,Sunny,97,6367.44,control
2023-07-03,"New York, NY",48721,386,597.49,3.54,Sunny,99,6472.46,control
2023-07-04,"New York, NY",47499,334,562.8,3.54,Sunny,83,5415.51,control
2023-07-05,"New York, NY",45795,562,596.34,3.54,Cloudy,74,4810.89,control
2023-07-06,"New York, NY",56305,842,1360.83,3.54,Cloudy,71,4661.02,control
2023-07-07,"New York, NY",50540,704,1121.12,3.54,Cloudy,78,5130.61,control
2023-07-08,"New York, NY",48602,682,706.75,3.54,Cloudy,88,5735.3,control
2023-07-09,"New York, NY",50184,743,961.51,3.54,Sunny,99,6459.31,control
2023-07-10,"New York, NY",52630,617,764.4,3.54,Rainy,101,6614.96,control
2023-07-11,"New York, NY",50975,496,806.09,3.54,Sunny,81,5281.62,control
2023-07-12,"New York, NY",43471,546,755.59,3.54,Sunny,75,4904.0,control
2023-07-13,"New York, NY",46456,692,711.49,3.54,Cloudy,74,4829.42,control
2023-07-14,"New York, NY",53207,695,1151.92,3.54,Snowy,74,4813.42,control
2023-07-15,"New York, NY",48934,474,790.94,3.54,Rainy,88,5753.39,control
2023-07-16,"New York, NY",60058,571,905.31,3.54,Sunny,98,6403.76,control
2023-07-17,"New York, NY",51508,364,485.75,3.54,Sunny,99,6439.59,control
2023-07-18,"New York, NY",43501,319,595.36,3.54,Sunny,80,5260.3,control
2023-07-19,"New York, NY",48686,295,401.29,3.54,Sunny,76,4949.83,control
2023-07-20,"New York, NY",50977,477,821.34,3.54,Rainy,69,4498.64,control
2023-07-21,"New York, NY",51485,475,654.65,3.54,Cloudy,72,4722.97,control
2023-07-22,"New York, NY",49063,686,1181.8,3.54,Sunny,80,5230.42,control
2023-07-23,"New York, NY",47226,641,654.62,3.54,Sunny,104,6810.27,control
2023-07-24,"New York, NY",54872,410,413.21,3.54,Sunny,100,6510.98,control
2023-07-25,"New York, NY",40957,570,1099.39,3.54,Sunny,83,5450.1,control
2023-07-26,"New York, NY",50323,516,755.81,3.54,Cloudy,75,4911.24,control
2023-07-27,"New York, NY",53978,354,466.29,3.54,Rainy,71,4617.54,control
2023-07-28,"New York, NY",50249,374,517.79,3.54,Sunny,72,4736.02,control
2023-07-29,"New York, NY",53609,738,1411.61,3.54,Sunny,87,5689.95,control
2023-07-30,"New York, NY",51298,599,1132.75,3.54,Rainy,96,6282.11,control
